                               Domain Name                                     Hierarchy Path               Object Type                     Tên tiếng Việt  Object Category       Parent Object                   Owner/Actor                                                                                                                            Description
15            Policy & Coverage Management                      D02 > Coverage > BenefitGroup              BenefitGroup                     Nhóm quyền lợi             Core            Coverage           Policy/Coverage Ops                                                                               Nhóm quyền lợi trong domain Quản lý Hợp đồng & Quyền lợi
16            Policy & Coverage Management                 D02 > BenefitGroup > BenefitDetail             BenefitDetail                 Chi tiết quyền lợi             Core        BenefitGroup           Policy/Coverage Ops                                                                           Chi tiết quyền lợi trong domain Quản lý Hợp đồng & Quyền lợi
17            Policy & Coverage Management                        D02 > BenefitDetail > Limit                     Limit                            Hạn mức        Financial       BenefitDetail           Policy/Coverage Ops                                                                                      Hạn mức trong domain Quản lý Hợp đồng & Quyền lợi
18            Policy & Coverage Management                   D02 > BenefitDetail > Deductible                Deductible                           Khấu trừ        Financial       BenefitDetail           Policy/Coverage Ops                                                                                     Khấu trừ trong domain Quản lý Hợp đồng & Quyền lợi
19            Policy & Coverage Management                  D02 > BenefitDetail > Coinsurance               Coinsurance                       Đồng chi trả        Financial       BenefitDetail           Policy/Coverage Ops                                                                                 Đồng chi trả trong domain Quản lý Hợp đồng & Quyền lợi
20            Policy & Coverage Management                         D02 > Coverage > Exclusion                 Exclusion                Điều khoản loại trừ         RuleData            Coverage           Policy/Coverage Ops                                                                          Điều khoản loại trừ trong domain Quản lý Hợp đồng & Quyền lợi
21            Policy & Coverage Management                       D02 > Claim > CoverageResult            CoverageResult          Kết quả kiểm tra coverage           Result               Claim           Policy/Coverage Ops                                                                    Kết quả kiểm tra coverage trong domain Quản lý Hợp đồng & Quyền lợi
22            Policy & Coverage Management           D02 > CoverageResult > BenefitEvaluation         BenefitEvaluation                 Đánh giá quyền lợi           Result      CoverageResult           Policy/Coverage Ops                                                                           Đánh giá quyền lợi trong domain Quản lý Hợp đồng & Quyền lợi
23            Policy & Coverage Management                      D02 > Policy > PolicySnapshot            PolicySnapshot                  Snapshot hợp đồng         Snapshot              Policy           Policy/Coverage Ops                                                                            Snapshot hợp đồng trong domain Quản lý Hợp đồng & Quyền lợi
24         Party & Relationship Management                D03 Party & Relationship Management                DomainRoot    Quản lý Bên liên quan & Quan hệ           Domain                 NaN  Customer / KYC / Payment Ops                                    Party, identity, contact, claim role, payee, authorized person, third party, bank account, consent.
25         Party & Relationship Management                                        D03 > Party                     Party                      Bên liên quan           Master          DomainRoot  Customer / KYC / Payment Ops                                                                             Bên liên quan trong domain Quản lý Bên liên quan & Quan hệ
26         Party & Relationship Management                        D03 > Party > PartyIdentity             PartyIdentity            Định danh bên liên quan         Identity               Party  Customer / KYC / Payment Ops                                                                   Định danh bên liên quan trong domain Quản lý Bên liên quan & Quan hệ
27         Party & Relationship Management                         D03 > Party > PartyContact              PartyContact              Liên hệ bên liên quan          Contact               Party  Customer / KYC / Payment Ops                                                                     Liên hệ bên liên quan trong domain Quản lý Bên liên quan & Quan hệ
28         Party & Relationship Management                           D03 > Claim > ClaimParty                ClaimParty          Vai trò party trong claim           Bridge               Claim  Customer / KYC / Payment Ops                                                                 Vai trò party trong claim trong domain Quản lý Bên liên quan & Quan hệ
29         Party & Relationship Management                       D03 > ClaimParty > PartyRole                 PartyRole                      Vai trò party        Reference          ClaimParty  Customer / KYC / Payment Ops                                                                             Vai trò party trong domain Quản lý Bên liên quan & Quan hệ
30         Party & Relationship Management                    D03 > ClaimParty > Relationship              Relationship               Quan hệ giữa các bên     Relationship          ClaimParty  Customer / KYC / Payment Ops                                                                      Quan hệ giữa các bên trong domain Quản lý Bên liên quan & Quan hệ
31         Party & Relationship Management                                D03 > Party > Payee                     Payee                    Người nhận tiền             Role               Party  Customer / KYC / Payment Ops                                                                           Người nhận tiền trong domain Quản lý Bên liên quan & Quan hệ
32         Party & Relationship Management                     D03 > Party > AuthorizedPerson          AuthorizedPerson                Người được ủy quyền             Role               Party  Customer / KYC / Payment Ops                                                                       Người được ủy quyền trong domain Quản lý Bên liên quan & Quan hệ
33         Party & Relationship Management                           D03 > Party > ThirdParty                ThirdParty                         Bên thứ ba             Role               Party  Customer / KYC / Payment Ops                                                                                Bên thứ ba trong domain Quản lý Bên liên quan & Quan hệ
34         Party & Relationship Management                          D03 > Payee > BankAccount               BankAccount                Tài khoản ngân hàng      PaymentData               Payee  Customer / KYC / Payment Ops                                                                       Tài khoản ngân hàng trong domain Quản lý Bên liên quan & Quan hệ
35         Party & Relationship Management                              D03 > Party > Consent                   Consent            Đồng ý/ủy quyền dữ liệu       Compliance               Party  Customer / KYC / Payment Ops                                                                   Đồng ý/ủy quyền dữ liệu trong domain Quản lý Bên liên quan & Quan hệ
36            FNOL & Claim Core Management                   D04 FNOL & Claim Core Management                DomainRoot           Quản lý FNOL & Claim lõi           Domain                 NaN                Claim Core Ops                           FNOL, submission history, duplicate check, claim, loss event, loss object, lifecycle, status, history, note.
37            FNOL & Claim Core Management                                         D04 > FNOL                      FNOL        Thông báo tổn thất đầu tiên    AggregateRoot          DomainRoot                Claim Core Ops                                                                      Thông báo tổn thất đầu tiên trong domain Quản lý FNOL & Claim lõi
38            FNOL & Claim Core Management                        D04 > FNOL > FNOLSubmission            FNOLSubmission          Lịch sử gửi/lưu nháp FNOL          History                FNOL                Claim Core Ops                                                                        Lịch sử gửi/lưu nháp FNOL trong domain Quản lý FNOL & Claim lõi
39            FNOL & Claim Core Management                          D04 > FNOL > FNOLSnapshot              FNOLSnapshot                      Snapshot FNOL         Snapshot                FNOL                Claim Core Ops                                                                                    Snapshot FNOL trong domain Quản lý FNOL & Claim lõi
40            FNOL & Claim Core Management                  D04 > FNOL > DuplicateCheckResult      DuplicateCheckResult             Kết quả kiểm tra trùng           Result                FNOL                Claim Core Ops                                                                           Kết quả kiểm tra trùng trong domain Quản lý FNOL & Claim lõi
41            FNOL & Claim Core Management                                        D04 > Claim                     Claim                   Hồ sơ bồi thường    AggregateRoot          DomainRoot                Claim Core Ops                                                                                 Hồ sơ bồi thường trong domain Quản lý FNOL & Claim lõi
42            FNOL & Claim Core Management                          D04 > Claim > ClaimStatus               ClaimStatus                   Trạng thái claim            State               Claim                Claim Core Ops                                                                                 Trạng thái claim trong domain Quản lý FNOL & Claim lõi
43            FNOL & Claim Core Management                       D04 > Claim > ClaimLifecycle            ClaimLifecycle                    Lifecycle claim        Lifecycle               Claim                Claim Core Ops                                                                                  Lifecycle claim trong domain Quản lý FNOL & Claim lõi
44            FNOL & Claim Core Management                       D04 > Claim/FNOL > LossEvent                 LossEvent                   Sự kiện tổn thất             Core          Claim/FNOL                Claim Core Ops                                                                                 Sự kiện tổn thất trong domain Quản lý FNOL & Claim lõi
45            FNOL & Claim Core Management                       D04 > LossEvent > LossObject                LossObject              Đối tượng bị tổn thất             Core           LossEvent                Claim Core Ops                                                                            Đối tượng bị tổn thất trong domain Quản lý FNOL & Claim lõi
46            FNOL & Claim Core Management                         D04 > Claim > ClaimHistory              ClaimHistory                      Lịch sử claim          History               Claim                Claim Core Ops                                                                                    Lịch sử claim trong domain Quản lý FNOL & Claim lõi
47            FNOL & Claim Core Management                           D04 > Claim > ClaimEvent                ClaimEvent                      Sự kiện claim            Event               Claim                Claim Core Ops                                                                                    Sự kiện claim trong domain Quản lý FNOL & Claim lõi
48            FNOL & Claim Core Management                            D04 > Claim > ClaimNote                 ClaimNote                      Ghi chú claim             Note               Claim                Claim Core Ops                                                                                    Ghi chú claim trong domain Quản lý FNOL & Claim lõi
49          Document & Evidence Management                 D05 Document & Evidence Management                DomainRoot        Quản lý Tài liệu & Chứng cứ           Domain                 NaN            Document / OCR Ops                      Document, metadata, OCR, extracted data, evidence package, invoice, medical document, image evidence, media file.
50          Document & Evidence Management                        D05 > Claim/FNOL > Document                  Document                           Tài liệu             Core          Claim/FNOL            Document / OCR Ops                                                                                      Tài liệu trong domain Quản lý Tài liệu & Chứng cứ
51          Document & Evidence Management                      D05 > Document > DocumentType              DocumentType                      Loại tài liệu        Reference            Document            Document / OCR Ops                                                                                 Loại tài liệu trong domain Quản lý Tài liệu & Chứng cứ
52          Document & Evidence Management                  D05 > Document > DocumentMetadata          DocumentMetadata                  Metadata tài liệu         Metadata            Document            Document / OCR Ops                                                                             Metadata tài liệu trong domain Quản lý Tài liệu & Chứng cứ
53          Document & Evidence Management                         D05 > Document > OCRResult                 OCRResult                        Kết quả OCR           Result            Document            Document / OCR Ops                                                                                   Kết quả OCR trong domain Quản lý Tài liệu & Chứng cứ
54          Document & Evidence Management                    D05 > OCRResult > ExtractedData             ExtractedData                 Dữ liệu trích xuất             Data           OCRResult            Document / OCR Ops                                                                            Dữ liệu trích xuất trong domain Quản lý Tài liệu & Chứng cứ
55          Document & Evidence Management                             D05 > Claim > Evidence                  Evidence                           Chứng cứ             Core               Claim            Document / OCR Ops                                                                                      Chứng cứ trong domain Quản lý Tài liệu & Chứng cứ
56          Document & Evidence Management                   D05 > Evidence > EvidencePackage           EvidencePackage                       Gói chứng cứ          Package            Evidence            Document / OCR Ops                                                                                  Gói chứng cứ trong domain Quản lý Tài liệu & Chứng cứ
57          Document & Evidence Management                           D05 > Document > Invoice                   Invoice                            Hóa đơn  DocumentSubtype            Document            Document / OCR Ops                                                                                       Hóa đơn trong domain Quản lý Tài liệu & Chứng cứ
58          Document & Evidence Management                   D05 > Document > MedicalDocument           MedicalDocument                      Tài liệu y tế  DocumentSubtype            Document            Document / OCR Ops                                                                                 Tài liệu y tế trong domain Quản lý Tài liệu & Chứng cứ
59          Document & Evidence Management                     D05 > Document > ImageEvidence             ImageEvidence                       Ảnh chứng cứ            Media            Document            Document / OCR Ops                                                                                  Ảnh chứng cứ trong domain Quản lý Tài liệu & Chứng cứ
60          Document & Evidence Management                D05 > Document > DeficiencyDocument        DeficiencyDocument             Chứng từ bổ sung thiếu       Deficiency            Document            Document / OCR Ops                                                                        Chứng từ bổ sung thiếu trong domain Quản lý Tài liệu & Chứng cứ
61          Document & Evidence Management                         D05 > Document > MediaFile                 MediaFile                         File media            Media            Document            Document / OCR Ops                                                                                    File media trong domain Quản lý Tài liệu & Chứng cứ
62     Validation & Eligibility Management            D06 Validation & Eligibility Management                DomainRoot   Quản lý Validation & Eligibility           Domain                 NaN  Validation / Eligibility Ops                Validation result, eligibility check, required document check, KYC/OCR check, duplicate check, deficiency, rule result.
63     Validation & Eligibility Management                     D06 > Claim > ValidationResult          ValidationResult                 Kết quả validation           Result               Claim  Validation / Eligibility Ops                                                                       Kết quả validation trong domain Quản lý Validation & Eligibility
64     Validation & Eligibility Management                     D06 > Claim > EligibilityCheck          EligibilityCheck                 Kiểm tra điều kiện            Check               Claim  Validation / Eligibility Ops                                                                       Kiểm tra điều kiện trong domain Quản lý Validation & Eligibility
65     Validation & Eligibility Management        D06 > ValidationResult > BusinessRuleResult        BusinessRuleResult              Kết quả business rule           Result    ValidationResult  Validation / Eligibility Ops                                                                    Kết quả business rule trong domain Quản lý Validation & Eligibility
66     Validation & Eligibility Management     D06 > ValidationResult > RequiredDocumentCheck     RequiredDocumentCheck         Kiểm tra chứng từ bắt buộc            Check    ValidationResult  Validation / Eligibility Ops                                                               Kiểm tra chứng từ bắt buộc trong domain Quản lý Validation & Eligibility
67     Validation & Eligibility Management       D06 > EligibilityCheck > PolicyValidityCheck       PolicyValidityCheck           Kiểm tra hiệu lực policy            Check    EligibilityCheck  Validation / Eligibility Ops                                                                 Kiểm tra hiệu lực policy trong domain Quản lý Validation & Eligibility
68     Validation & Eligibility Management  D06 > EligibilityCheck > CoverageEligibilityCheck  CoverageEligibilityCheck      Kiểm tra coverage eligibility            Check    EligibilityCheck  Validation / Eligibility Ops                                                            Kiểm tra coverage eligibility trong domain Quản lý Validation & Eligibility
69     Validation & Eligibility Management                  D06 > EligibilityCheck > KYCCheck                  KYCCheck                       Kiểm tra KYC            Check    EligibilityCheck  Validation / Eligibility Ops                                                                             Kiểm tra KYC trong domain Quản lý Validation & Eligibility
70     Validation & Eligibility Management      D06 > ValidationResult > DuplicateCheckResult      DuplicateCheckResult             Kết quả kiểm tra trùng           Result    ValidationResult  Validation / Eligibility Ops                                                                   Kết quả kiểm tra trùng trong domain Quản lý Validation & Eligibility
71     Validation & Eligibility Management                           D06 > Claim > Deficiency                Deficiency                    Thiếu sót hồ sơ        Exception               Claim  Validation / Eligibility Ops                                                                          Thiếu sót hồ sơ trong domain Quản lý Validation & Eligibility
72     Validation & Eligibility Management               D06 > Deficiency > DeficiencyRequest         DeficiencyRequest                    Yêu cầu bổ sung          Request          Deficiency  Validation / Eligibility Ops                                                                          Yêu cầu bổ sung trong domain Quản lý Validation & Eligibility
73     Validation & Eligibility Management    D06 > BusinessRuleResult > ValidationRuleResult      ValidationRuleResult            Kết quả rule validation           Result  BusinessRuleResult  Validation / Eligibility Ops                                                                  Kết quả rule validation trong domain Quản lý Validation & Eligibility
74                         Work Management                                D07 Work Management                DomainRoot         Quản lý Công việc vận hành           Domain                 NaN        Operations / Workforce                                                 Work queue, work item, task, assignment, workload, SLA, escalation, reminder, handoff.
75                         Work Management                                    D07 > WorkQueue                 WorkQueue                     Hàng đợi xử lý            Queue          DomainRoot        Operations / Workforce                                                                                 Hàng đợi xử lý trong domain Quản lý Công việc vận hành
76                         Work Management                             D07 > Claim > WorkItem                  WorkItem                   Đơn vị công việc             Work               Claim        Operations / Workforce                                                                               Đơn vị công việc trong domain Quản lý Công việc vận hành
77                         Work Management                              D07 > WorkItem > Task                      Task                           Nhiệm vụ             Task            WorkItem        Operations / Workforce                                                                                       Nhiệm vụ trong domain Quản lý Công việc vận hành
78                         Work Management                            D07 > Task > Assignment                Assignment                          Phân công       Assignment                Task        Operations / Workforce                                                                                      Phân công trong domain Quản lý Công việc vận hành
79                         Work Management                        D07 > Assignment > Workload                  Workload                      Tải công việc           Metric          Assignment        Operations / Workforce                                                                                  Tải công việc trong domain Quản lý Công việc vận hành
80                         Work Management                               D07 > WorkItem > SLA                       SLA                        Cam kết SLA              SLA            WorkItem        Operations / Workforce                                                                                    Cam kết SLA trong domain Quản lý Công việc vận hành
81                         Work Management                             D07 > SLA > Escalation                Escalation                          Leo thang        Exception                 SLA        Operations / Workforce                                                                                      Leo thang trong domain Quản lý Công việc vận hành
82                         Work Management                               D07 > SLA > Reminder                  Reminder                          Nhắc việc     Notification                 SLA        Operations / Workforce                                                                                      Nhắc việc trong domain Quản lý Công việc vận hành
83                         Work Management                                         D07 > Team                      Team                          Đội xử lý              Org          DomainRoot        Operations / Workforce                                                                                      Đội xử lý trong domain Quản lý Công việc vận hành
84                         Work Management                        D07 > Team > UserAssignment            UserAssignment               Phân công người dùng       Assignment                Team        Operations / Workforce                                                                           Phân công người dùng trong domain Quản lý Công việc vận hành
85                         Work Management                               D07 > Task > Handoff                   Handoff                 Bàn giao công việc          Process                Task        Operations / Workforce                                                                             Bàn giao công việc trong domain Quản lý Công việc vận hành
86                         Work Management                          D07 > WorkItem > WorkNote                  WorkNote                  Ghi chú công việc             Note            WorkItem        Operations / Workforce                                                                              Ghi chú công việc trong domain Quản lý Công việc vận hành
87   Investigation & Assessment Management          D08 Investigation & Assessment Management                DomainRoot       Quản lý Điều tra & Thẩm định           Domain                 NaN                SIU / Assessor            Investigation case, finding, fraud signal, fraud score, leakage indicator, assessment, damage/expense item, recommendation.
88   Investigation & Assessment Management                    D08 > Claim > InvestigationCase         InvestigationCase                     Hồ sơ điều tra             Case               Claim                SIU / Assessor                                                                               Hồ sơ điều tra trong domain Quản lý Điều tra & Thẩm định
89   Investigation & Assessment Management     D08 > InvestigationCase > InvestigationFinding      InvestigationFinding                   Kết quả điều tra          Finding   InvestigationCase                SIU / Assessor                                                                             Kết quả điều tra trong domain Quản lý Điều tra & Thẩm định
90   Investigation & Assessment Management              D08 > InvestigationCase > FraudSignal               FraudSignal                  Tín hiệu gian lận           Signal   InvestigationCase                SIU / Assessor                                                                            Tín hiệu gian lận trong domain Quản lý Điều tra & Thẩm định
91   Investigation & Assessment Management                     D08 > FraudSignal > FraudScore                FraudScore                      Điểm gian lận            Score         FraudSignal                SIU / Assessor                                                                                Điểm gian lận trong domain Quản lý Điều tra & Thẩm định
92   Investigation & Assessment Management                     D08 > Claim > LeakageIndicator          LeakageIndicator                 Chỉ báo thất thoát           Signal               Claim                SIU / Assessor                                                                           Chỉ báo thất thoát trong domain Quản lý Điều tra & Thẩm định
93   Investigation & Assessment Management                           D08 > Claim > Assessment                Assessment                    Hồ sơ thẩm định             Case               Claim                SIU / Assessor                                                                              Hồ sơ thẩm định trong domain Quản lý Điều tra & Thẩm định
94   Investigation & Assessment Management                  D08 > Assessment > AssessmentItem            AssessmentItem                 Hạng mục thẩm định             Item          Assessment                SIU / Assessor                                                                           Hạng mục thẩm định trong domain Quản lý Điều tra & Thẩm định
95   Investigation & Assessment Management               D08 > Assessment > MedicalAssessment         MedicalAssessment                     Thẩm định y tế          Subtype          Assessment                SIU / Assessor                                                                               Thẩm định y tế trong domain Quản lý Điều tra & Thẩm định
96   Investigation & Assessment Management               D08 > Assessment > VehicleAssessment         VehicleAssessment                       Thẩm định xe          Subtype          Assessment                SIU / Assessor                                                                                 Thẩm định xe trong domain Quản lý Điều tra & Thẩm định
97   Investigation & Assessment Management              D08 > Assessment > PropertyAssessment        PropertyAssessment                  Thẩm định tài sản          Subtype          Assessment                SIU / Assessor                                                                            Thẩm định tài sản trong domain Quản lý Điều tra & Thẩm định
98   Investigation & Assessment Management       D08 > MedicalAssessment > MedicalExpenseItem        MedicalExpenseItem              Hạng mục chi phí y tế             Item   MedicalAssessment                SIU / Assessor                                                                        Hạng mục chi phí y tế trong domain Quản lý Điều tra & Thẩm định
99   Investigation & Assessment Management        D08 > VehicleAssessment > VehicleDamageItem         VehicleDamageItem                Hạng mục hư hỏng xe             Item   VehicleAssessment                SIU / Assessor                                                                          Hạng mục hư hỏng xe trong domain Quản lý Điều tra & Thẩm định
100  Investigation & Assessment Management        D08 > Assessment > SettlementRecommendation  SettlementRecommendation                 Đề xuất bồi thường   Recommendation          Assessment                SIU / Assessor                                                                           Đề xuất bồi thường trong domain Quản lý Điều tra & Thẩm định
101         Decision & Approval Management                 D09 Decision & Approval Management                DomainRoot     Quản lý Quyết định & Phê duyệt           Domain                 NaN    Approver / Claim Committee                     Decision, decision version/item, approval request/step/history, settlement offer, decision letter, appeal/dispute.
102         Decision & Approval Management                             D09 > Claim > Decision                  Decision              Quyết định bồi thường             Case               Claim    Approver / Claim Committee                                                                      Quyết định bồi thường trong domain Quản lý Quyết định & Phê duyệt
103         Decision & Approval Management                   D09 > Decision > DecisionVersion           DecisionVersion               Phiên bản quyết định          Version            Decision    Approver / Claim Committee                                                                       Phiên bản quyết định trong domain Quản lý Quyết định & Phê duyệt
104         Decision & Approval Management                      D09 > Decision > DecisionItem              DecisionItem                Hạng mục quyết định             Item            Decision    Approver / Claim Committee                                                                        Hạng mục quyết định trong domain Quản lý Quyết định & Phê duyệt
105         Decision & Approval Management                   D09 > Decision > ApprovalRequest           ApprovalRequest                  Yêu cầu phê duyệt         Approval            Decision    Approver / Claim Committee                                                                          Yêu cầu phê duyệt trong domain Quản lý Quyết định & Phê duyệt
106         Decision & Approval Management               D09 > ApprovalRequest > ApprovalStep              ApprovalStep                     Bước phê duyệt         Approval     ApprovalRequest    Approver / Claim Committee                                                                             Bước phê duyệt trong domain Quản lý Quyết định & Phê duyệt
107         Decision & Approval Management            D09 > ApprovalRequest > ApprovalHistory           ApprovalHistory                  Lịch sử phê duyệt          History     ApprovalRequest    Approver / Claim Committee                                                                          Lịch sử phê duyệt trong domain Quản lý Quyết định & Phê duyệt
108         Decision & Approval Management                   D09 > Decision > SettlementOffer           SettlementOffer                 Đề nghị settlement            Offer            Decision    Approver / Claim Committee                                                                         Đề nghị settlement trong domain Quản lý Quyết định & Phê duyệt
109         Decision & Approval Management                    D09 > Decision > DecisionLetter            DecisionLetter                     Thư quyết định         Document            Decision    Approver / Claim Committee                                                                             Thư quyết định trong domain Quản lý Quyết định & Phê duyệt
110         Decision & Approval Management                   D09 > Decision > RejectionReason           RejectionReason                      Lý do từ chối           Reason            Decision    Approver / Claim Committee                                                                              Lý do từ chối trong domain Quản lý Quyết định & Phê duyệt
111         Decision & Approval Management                        D09 > Decision > AppealCase                AppealCase                    Hồ sơ khiếu nại           Appeal            Decision    Approver / Claim Committee                                                                            Hồ sơ khiếu nại trong domain Quản lý Quyết định & Phê duyệt
112         Decision & Approval Management                       D09 > Decision > DisputeCase               DisputeCase                   Hồ sơ tranh chấp          Dispute            Decision    Approver / Claim Committee                                                                           Hồ sơ tranh chấp trong domain Quản lý Quyết định & Phê duyệt
113         Decision & Approval Management               D09 > Decision > DecisionExplanation       DecisionExplanation              Giải thích quyết định   Explainability            Decision    Approver / Claim Committee                                                                      Giải thích quyết định trong domain Quản lý Quyết định & Phê duyệt
114    Claim Finance & Recovery Management            D10 Claim Finance & Recovery Management                DomainRoot  Quản lý Tài chính Claim & Thu hồi           Domain                 NaN        Finance / Recovery Ops  Reserve, exposure, payment request/transaction, settlement, recovery, subrogation, reconciliation, liability allocation, reinsurance.
115    Claim Finance & Recovery Management                              D10 > Claim > Reserve                   Reserve                Dự phòng bồi thường        Financial               Claim        Finance / Recovery Ops                                                                     Dự phòng bồi thường trong domain Quản lý Tài chính Claim & Thu hồi
116    Claim Finance & Recovery Management                             D10 > Claim > Exposure                  Exposure              Trách nhiệm tài chính        Financial               Claim        Finance / Recovery Ops                                                                   Trách nhiệm tài chính trong domain Quản lý Tài chính Claim & Thu hồi
117    Claim Finance & Recovery Management                    D10 > Decision > PaymentRequest            PaymentRequest                 Yêu cầu thanh toán          Payment            Decision        Finance / Recovery Ops                                                                      Yêu cầu thanh toán trong domain Quản lý Tài chính Claim & Thu hồi
118    Claim Finance & Recovery Management          D10 > PaymentRequest > PaymentTransaction        PaymentTransaction               Giao dịch thanh toán      Transaction      PaymentRequest        Finance / Recovery Ops                                                                    Giao dịch thanh toán trong domain Quản lý Tài chính Claim & Thu hồi
119    Claim Finance & Recovery Management                  D10 > PaymentRequest > Settlement                Settlement              Quyết toán/settlement       Settlement      PaymentRequest        Finance / Recovery Ops                                                                   Quyết toán/settlement trong domain Quản lý Tài chính Claim & Thu hồi
120    Claim Finance & Recovery Management                             D10 > Claim > Recovery                  Recovery                            Thu hồi         Recovery               Claim        Finance / Recovery Ops                                                                                 Thu hồi trong domain Quản lý Tài chính Claim & Thu hồi
121    Claim Finance & Recovery Management                       D10 > Recovery > Subrogation               Subrogation                          Thế quyền         Recovery            Recovery        Finance / Recovery Ops                                                                               Thế quyền trong domain Quản lý Tài chính Claim & Thu hồi
122    Claim Finance & Recovery Management          D10 > PaymentTransaction > Reconciliation            Reconciliation                           Đối soát   Reconciliation  PaymentTransaction        Finance / Recovery Ops                                                                                Đối soát trong domain Quản lý Tài chính Claim & Thu hồi
123    Claim Finance & Recovery Management                  D10 > Claim > LiabilityAllocation       LiabilityAllocation                Phân bổ trách nhiệm       Allocation               Claim        Finance / Recovery Ops                                                                     Phân bổ trách nhiệm trong domain Quản lý Tài chính Claim & Thu hồi
124    Claim Finance & Recovery Management                          D10 > Claim > Reinsurance               Reinsurance                       Tái bảo hiểm      Reinsurance               Claim        Finance / Recovery Ops                                                                            Tái bảo hiểm trong domain Quản lý Tài chính Claim & Thu hồi
125    Claim Finance & Recovery Management                      D10 > Claim > FinancialLedger           FinancialLedger                   Sổ cái tài chính           Ledger               Claim        Finance / Recovery Ops                                                                        Sổ cái tài chính trong domain Quản lý Tài chính Claim & Thu hồi
126    Claim Finance & Recovery Management                 D10 > PaymentRequest > PayableItem               PayableItem                     Khoản phải trả          Payable      PaymentRequest        Finance / Recovery Ops                                                                          Khoản phải trả trong domain Quản lý Tài chính Claim & Thu hồi
